ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E04088,内国法人・組合,上場,有,60359,3月31日,小田急電鉄株式会社,"Odakyu Electric Railway Co.,Ltd",オダキュウデンテツカブシキガイシャ,渋谷区代々木２丁目２８番１２号,陸運業,90070
E04089,内国法人・組合,上場,有,43738,3月31日,京浜急行電鉄株式会社,Keikyu Corporation,ケイヒンキュウコウデンテツカブシキガイシャ,港区高輪２丁目２０番２０号,陸運業,90060
E04090,内国法人・組合,上場,有,121724,3月31日,東京急行電鉄株式会社,TOKYU CORPORATION,トウキョウキュウコウデンテツカブシキガイシャ,渋谷区南平台町５番６号,陸運業,90050
E04091,内国法人・組合,上場,有,36803,3月31日,京成電鉄株式会社,,ケイセイデンテツカブシキガイシャ,市川市八幡三丁目３番１号,陸運業,90090
E04092,内国法人・組合,上場,有,59023,3月31日,京王電鉄株式会社,Keio Corporation,ケイオウデンテツカブシキガイシャ,新宿区新宿三丁目１番２４号,陸運業,90080
E04093,内国法人・組合,上場,有,9126,3月31日,富士急行株式会社,"FUJI KYUKO CO., LTD.",フジキュウコウカブシキガイシャ,富士吉田市上吉田二丁目５番１号,陸運業,90100
E04094,内国法人・組合,上場,有,102135,3月31日,東武鉄道株式会社,"TOBU RAILWAY CO.,LTD.",トウブテツドウカブシキガイシャ,墨田区押上一丁目１番２号,陸運業,90010
E04095,内国法人・組合,非上場,有,640,3月31日,伊豆箱根鉄道株式会社,"IZUHAKONE RAILWAY CO.,LTD.",イズハコネテツドウカブシキガイシャ,三島市大場３００番地,陸運業,
E04097,内国法人・組合,上場,有,38803,3月31日,相鉄ホールディングス株式会社,"Sotetsu Holdings,Inc.",ソウテツホールディングスカブシキガイシャ,横浜市西区北幸一丁目３番２３号,陸運業,90030
E04098,内国法人・組合,上場,有,5935,3月31日,新京成電鉄株式会社,"Shin-Keisei Electric Railway Co.,Ltd.",シンケイセイデンテツカブシキガイシャ,鎌ケ谷市くぬぎ山四丁目１番１２号,陸運業,90140
E04099,内国法人・組合,非上場,有,495,3月31日,長野電鉄株式会社,"Nagano Electric Railway Co.,Ltd",ナガノデンテツカブシキガイシャ,長野市権堂町２２０１番地,陸運業,
E04100,内国法人・組合,非上場,有,300,3月31日,江ノ島電鉄株式会社,"Enoshima Electric Railway Co.,Ltd.",エノシマデンテツカブシキガイシャ,藤沢市片瀬海岸１丁目４番７号,陸運業,
E04101,内国法人・組合,上場,有,84185,3月31日,名古屋鉄道株式会社,,ナゴヤテツドウカブシキガイシャ,名古屋市中村区名駅一丁目２番４号,陸運業,90480
E04102,内国法人・組合,上場,有,126476,3月31日,近鉄グループホールディングス株式会社,,キンテツグループホールディングスカブシキガイシャ,大阪市天王寺区上本町６丁目１番５５号,陸運業,90410
E04103,内国法人・組合,上場,有,99474,3月31日,阪急阪神ホールディングス株式会社,"Hankyu Hanshin Holdings,Inc.",ハンキュウハンシンホールディングスカブシキガイシャ,池田市栄町１番１号,陸運業,90420
E04105,内国法人・組合,上場,有,51466,3月31日,京阪ホールディングス株式会社,"Keihan Holdings Co.,Ltd.",ケイハンホールディングスカブシキガイシャ,枚方市岡東町１７３番地の１,陸運業,90450
E04106,内国法人・組合,上場,有,63739,3月31日,南海電気鉄道株式会社,,ナンカイデンキテツドウカブシキガイシャ,大阪市中央区難波五丁目１番６０号,陸運業,90440
E04108,内国法人・組合,上場,有,1000,3月31日,京福電気鉄道株式会社,"Keifuku Electric Railroad Co.,Ltd.",ケイフクデンキテツドウカブシキガイシャ,京都市中京区壬生賀陽御所町３番地の２０,陸運業,90490
E04109,内国法人・組合,上場,有,11710,3月31日,神戸電鉄株式会社,"Kobe Electric Railway Co.,Ltd.",コウベデンテツカブシキカイシャ,神戸市兵庫区新開地１丁目３番２４号,陸運業,90460
E04110,内国法人・組合,上場,有,26157,3月31日,西日本鉄道株式会社,"Nishi-Nippon Railroad Co.,Ltd.",ニシニッポンテツドウカブシキガイシャ,福岡市中央区天神一丁目１１番１７号,陸運業,90310
E04111,内国法人・組合,上場,有,16802,3月31日,株式会社日立物流,"Hitachi Transport System,Ltd.",カブシキガイシャヒタチブツリュウ,中央区京橋二丁目９番２号,陸運業,90860
E04112,内国法人・組合,非上場,有,507,3月31日,越後交通株式会社,,エチゴコウツウカブシキカイシャ,長岡市千秋２丁目２７８８番地１,陸運業,
E04113,内国法人・組合,非上場,有,1800,3月31日,静岡鉄道株式会社,,シズオカテツドウカブシキガイシャ,静岡市葵区鷹匠一丁目１番１号,陸運業,
E04115,内国法人・組合,非上場,有,449,3月31日,サンデン交通株式会社,"Sanden Kotsu Co,Ltd.",サンデンコウツウカブシキガイシャ,下関市羽山町３番３号,陸運業,
E04116,内国法人・組合,非上場,有,200,3月31日,株式会社じょうてつ,JOTETSU CORPORATION,カブシキガイシャジョウテツ,札幌市白石区東札幌１条１丁目１番８号,陸運業,
E04118,内国法人・組合,非上場,有,200,3月31日,豊橋鉄道株式会社,,トヨハシテツドウカブシキガイシャ,豊橋市駅前大通一丁目４６番地の１豊鉄ターミナルビル５階,陸運業,
E04119,内国法人・組合,非上場,無,125,3月31日,広島観光開発株式会社,"Hiroshima Tourism Promoting Co., Ltd.",ヒロシマカンコウカイハツカブシキガイシャ,広島市中区東千田町二丁目９番２９号,陸運業,
E04122,内国法人・組合,非上場,有,1500,3月31日,伊予鉄道株式会社,"Iyo Railway Co., Ltd.",イヨテツドウカブシキガイシャ,松山市湊町４丁目４番地１,陸運業,
E04123,内国法人・組合,上場,有,2335,3月31日,広島電鉄株式会社,"Hiroshima Electric Railway Co.,Ltd.",ヒロシマデンテツカブシキガイシャ,広島市中区東千田町二丁目９番２９号,陸運業,90330
E04124,内国法人・組合,非上場,有,780,3月31日,一畑電気鉄道株式会社,"The Ichibata Electric Railroad Co.,Ltd.",イチバタデンキテツドウカブシキガイシャ,松江市中原町４９番地,陸運業,
E04125,内国法人・組合,上場,有,10090,3月31日,山陽電気鉄道株式会社,"Sanyo Electric Railway Co.,Ltd.",サンヨウデンキテツドウカブシキガイシャ,神戸市長田区御屋敷通３丁目１番１号,陸運業,90520
E04126,内国法人・組合,非上場,有,160,3月31日,岳南鉄道株式会社,,ガクナンテツドウカブシキガイシャ,富士市今泉一丁目１７番３９号,陸運業,
E04127,内国法人・組合,非上場,有,100,3月31日,福井鉄道株式会社,"FUKUI RAILWAY CO.,LTD.",フクイテツドウカブシキカイシャ,越前市北府二丁目５番２０号,陸運業,
E04128,内国法人・組合,非上場,有,1557,3月31日,富山地方鉄道株式会社,"TOYAMACHIHO RAILROAD CO.,LTD.",トヤマチホウテツドウカブシキガイシャ,富山市桜町１丁目１番３６号,陸運業,
E04129,内国法人・組合,非上場,有,3800,3月31日,遠州鉄道株式会社,,エンシュウテツドウカブシキガイシャ,浜松市中区旭町１２番地の１,陸運業,
E04130,内国法人・組合,非上場,有,1814,3月31日,北陸鉄道株式会社,"HOKURIKU RAILROAD CO.,LTD",ホクリクテツドウカブシキガイシャ,金沢市割出町５５６番地,陸運業,
E04132,内国法人・組合,非上場,有,202,3月31日,小湊鉄道株式会社,,コミナトテツドウカブシキガイシャ,市原市五井中央東１丁目１番地２,陸運業,
E04135,内国法人・組合,非上場,有,510,3月31日,関東鉄道株式会社,"Kanto Railway Co.,Ltd",カントウテツドウカブシキガイシャ,土浦市真鍋一丁目１０番８号,陸運業,
E04136,内国法人・組合,上場,有,750,3月31日,秩父鉄道株式会社,,チチブテツドウカブシキガイシャ,熊谷市曙町１丁目１番地,陸運業,90120
E04137,内国法人・組合,非上場,有,800,3月31日,島原鉄道株式会社,"Shimabara Railroad Co.,Ltd.",シマバラテツドウカブシキガイシャ,島原市弁天町２丁目７３８５番地１,陸運業,
E04141,内国法人・組合,非上場,無,1500,3月31日,会津鉄道株式会社,"Aizu Railway Co.,Ltd.",アイヅテツドウカブシキガイシャ,会津若松市材木町一丁目３番２０号,陸運業,
E04142,内国法人・組合,非上場,無,450,3月31日,のと鉄道株式会社,"NOTO RAILWAY CO.,Ltd.",ノトテツドウカブシキガイシャ,鳳珠郡穴水町字大町チ２４番地２,陸運業,
